Longitude,Latitude
-91.1545509,30.4507462
-80.2440517,36.0998131
-90.0701155,29.9499323
-84.5124601,39.1014537
-83.6129938,42.2411499
-80.2003253,25.9117608
-123.3649268,48.4283327
-117.2106563,33.560832
-122.1560767,37.7249296
-83.7844488,42.5316757
-78.8369795,42.9911685
-1.9521986,50.5947727
-74.8148893,38.9917797
-118.1444778,34.1476452
-97.1413416,33.1838787
-77.0366455,38.8949549
-66.8510968046574,18.07242605
-73.9908462907585,40.7370032
-0.0925415,51.4745706
-86.8295336,33.2588817
-80.142578,39.4850848
-74.1723666,40.735657
-80.0533745,26.7153425
-95.4474413,29.5388465
-84.3402029,33.8584368
-90.1487198,38.7014389
-80.2769469,25.7147949
-94.592745,31.5970503
-90.0601265,35.1372843
-73.538734,41.0534302
-117.3961622,33.9533546
-77.073525,39.0794975
-87.9224969,43.0349931
-117.7834146,33.5420888
-75.1635898,39.9523993
-117.5751734,34.1033192
-81.6498194,35.0717945
-85.6678638,42.9632405
-122.3477485,37.9357576
-87.6944914,41.571701
-82.836411,34.6850749
-96.6925095,33.0136764
-86.8099883,33.285669
28.049722,-26.2049999
-98.6869616,29.5628222
-86.4812115114272,34.676649
-115.1120957,36.2008371
-77.5797225,43.2133955
-73.9597221,40.7902778
-121.2907795,37.9577016
-79.0392918,35.6729639
-87.7845024,41.8850317
-85.7594069,38.2542376
-80.7526079,32.216316
-118.1270599,34.093042
-86.2119126,32.5437448
-71.4128342,41.8239891
-81.4914893,31.1499528
-84.1916068,39.7589478
-98.6664736,36.8050308
-71.0595677,42.3604823
-95.9929112,36.1556805
-74.4073736,40.6337136
-84.7477135,33.7514966
-77.9118439,40.8043195
-74.3142272872922,40.59171315
174.7655514,-36.8534664
6.1466014,46.2017559
-97.1057148357776,32.701939
-120.5302726,46.6540065
27.975,-26.0961109
-77.0366455,38.8949549
-97.166674,49.8833343
-66.6437528,45.9646491
27.7426103,-32.9322996
-69.9653277,43.9145244
-121.5631722,37.0065078
-82.554016,35.6009498
-117.0358645,32.9628234
-2.2441008,53.4791301
-84.0335196,34.1064895
-97.3327458,32.753177
-87.2360825,30.4688079
-97.1466694,31.549333
-80.2128255,25.9684255
-122.0649629,37.9063131
-92.0490095,30.317144
-90.0516284,35.1490215
-77.0841584,38.8903961
-73.7914213158161,40.6524927
151.210047,-33.8679573
-86.8689364,35.925193
-123.1369142,49.1632611
-90.3053914,38.7442175
-76.9382068,39.5162234
-121.8746788,37.6624312
-71.0661622,42.3598196
-74.2445901,40.6220478
-122.3608104,38.4015781
-78.0000546,24.7736546
-93.2261075,44.0839937
-111.939103,40.6096698
-115.1492249,36.1662859
-77.6930601,43.2097838
-75.4679733,39.7295581
-84.4611515741255,33.6379035
-122.0558469,37.9276609
-73.9865811,40.7305991
-122.5310873,37.9735346
-88.7503646,41.9294736
-83.4048861,33.5981814
-118.2514358,34.0518917
-74.085237657545,4.63874255
-84.3785378,33.9242688
-119.7029193,36.8252277
-92.964936,44.9630216
-117.8259818,33.6856969
-81.4639834,27.7567667
-81.4401128,41.3125552
-118.3731351,33.9187195
-74.1496047,40.5834557
-93.1659178,44.818173
-83.0567374,42.3486635
-74.114309,40.6687141
25.2668783,-25.8005622
-90.1978888,38.6272733
-74.0560457707331,41.1898885
-82.4404659,42.9815877
-79.990086,40.4416941
-79.9748102,32.8546197
-92.5617874,38.7604815
-76.687467,39.0017772
-71.1211634,42.3317642
-75.2352313,41.0405208
-76.6107589,39.2908816
-97.7625385,35.5067259
-105.0668084,40.5508527
-90.184769,32.2990384
-157.8556763,21.304547
-84.6824345,43.6211955
2.7537863,48.6443057
-68.85902,45.709097
-70.6183638,41.6459404
-77.0470228,38.8051095
-81.4406257,41.1596261
-76.8668733,38.8977194
-121.4943995,38.5815719
-93.1015025,44.9504037
-122.4192362,37.7792808
-85.155141,37.5726028
-121.8901231,38.0181745
-104.9847033,39.7391536
-71.2358003,42.3756401
-79.3849007,43.6529206
27.9661111,-26.6199999
-117.2035929,32.8276719
-106.8235605,39.1911128
-77.3446512,39.0006847
-92.0071259,30.8703881
-78.6390988,35.7803977
-157.9752029,21.2160437
-71.5014468,41.437324
-72.6830522,41.7634935
-121.8905832,37.3361905
-74.4041621,40.0757384
-97.2271248,32.9299655
-71.3642259,42.3209291
-73.8366960598775,40.85703325
-71.1056156,42.3750997
-118.0000165,33.6783336
-100.4458824,39.7837304
-70.2548595,43.6610277
-83.1137365,32.3293809
-95.3676973,29.7589382
-96.4980423,33.1801161
-87.6656014,41.5572567
-117.4350479,34.0922335
-87.7099303,41.4853363
-73.0785887259843,41.589782
-75.1257643,40.0958454
-84.5441089,38.9431183
-117.8732212,33.7494951
-78.8986189,35.9940329
-122.2885807,38.0171441
28.180278,-25.8363889
-118.7559973,36.7014631
-96.7968558,32.7762719
-72.0323659,42.3788774
-157.9474316,21.4006547
-94.5630297,39.0844687
-122.6741948,45.5202471
-92.5443266,34.6195372
-80.1433785,26.1223084
-75.9774182,36.8529841
-99.0931316,35.0295009
-84.4864894515675,33.6654335
28.37,-26.2352779
9.1904984,45.4667971
-89.9112123,38.5922715
-89.6443687,39.7989763
25.4716809,65.0118734
-97.7277959,31.1171441
-98.4951404,29.4246002
-118.1366152,34.6981064
18.975,-33.7416669
-117.0841954,32.6400541
-79.0752894,35.9101438
-81.0998341,32.0835407
-122.6292472,47.3000489
-97.5170535,35.4729886
-86.0,50.0000002
10.0099133,53.5437641
-80.1364322,27.059498
-81.2466429,42.988576
-82.6418882,39.7886111
-79.7919753,36.0726355
-88.0817251,41.525031
-76.8092919,38.756732
-77.0288917,38.9959081
-90.1132182313657,32.455238
-80.2781056,25.8575963
-122.3660824,37.5841026
-84.0176903,33.6676103
-75.306887687778,39.9483282
-87.6892407502206,41.91504845
-80.3347211811522,25.97591145
26.5272648,-33.3070588
-95.4560511,30.3118769
-82.4584439,27.9477595
-106.650985,35.0841034
-81.9382516,41.1000764
-74.0159726,40.8975992
-79.6441645,43.5892854
-97.7436994,30.2711286
31.009909,-29.8618249
-117.2425354,33.2000368
-72.9250517,41.3082138
35.0015196,30.8760272
-75.0847658,38.3348728
-76.4968018,42.4396039
-75.3557457,39.849557
-87.7041736,41.9057668
30.0644358,-1.964663
-118.3258553,34.1816482
-122.8853188,42.38957
-70.3028025,19.0974031
-78.8783921,42.8867166
18.417396,-33.9289919
-122.2713562,37.8044557
-0.1729126,51.6487843
-70.880049,42.5584284
-118.2250724,33.9816812
-86.1746932,40.3270127
-94.6113287,45.9896587
-76.6502844,39.4845658
-80.5797415,35.4093772
-87.3328138,41.4828144
-84.9877093,32.4609764
-79.862585,32.7940651
-76.6163554,39.2284408
-69.3833813,44.7825642
-97.4486266,38.0352315
-87.6930458,42.0447388
-81.2046903649668,28.6593925
-79.2391708,43.1654193
-73.6186839,40.7063185
-71.9999999,54.0
-73.9495822,40.6501038
-84.3901848,33.7490987
-121.3153095,44.0581728
-85.7371603,38.2770227
-82.9368639,39.9692378
-70.9342049,41.6362152
-118.4875489,34.019657
-90.418654790625,38.5776995
-83.1812803,35.3096053
-86.774353,36.1622296
-117.1627713,32.7174209
-80.1372004954837,26.1801443
-120.8471544,37.7665947
-86.3619162,32.4798575
-91.0168178,41.5889154
-89.6884636,44.4308975
-95.9683277,36.0228734
28.233611,-26.0963889
-121.185878161131,38.72338
-79.1522514,39.9156337
-75.1896235,39.9492795
4.89797550561798,52.3745403
-96.6678212,40.7999998
-122.3014109,37.9154056
-121.7445834,38.545379
-66.1109317,8.0018709
72.0,31.0
-72.7342162,41.6500201
-88.0039652,42.263079
-79.8664374,40.3634026
-80.4363742,33.6874388
-111.9094473,33.4144139
-73.0014945,40.8687097
-82.6881394,40.2253569
-71.0994967,42.3875968
-82.7967197943855,28.0461214
-72.6306343,42.3190227
28.125912,-25.9992619
-78.492772,37.1232245
-87.5558482,37.9747645
-94.6707916,38.9822282
18.6277778,-33.8980555
-93.2654691,44.9772995
-112.3244865,33.6130338
-1.4702277,53.3806626
-82.6695084,27.7703796
-118.2439408,34.0543942
-0.1172869,51.5013012
-118.3076479,33.888658
-81.6934445,41.5051613
-120.510842,46.601557
-121.8946387,36.600256
-84.2809331,30.4380832
-99.5120985,31.8160381
-74.3148712,40.7959335
12.6383337,45.5367094
-87.6244211,41.8755546
-83.221873,42.4733689
-122.11802,37.8857582
-81.3575569880424,28.37041725
-117.2897651,34.1083449
-97.0667361924056,32.8465405
-83.8925233,39.8045432
-115.1734141,36.1150858
-96.5366579,33.7556593
-93.6037148,41.5910641
-0.00321361922244812,51.54131225
-86.3977735,39.8433769
-83.0496437,42.3928151
-112.0773455,33.4485866
-122.2728638,37.8708393
-121.3716177,38.4087993
-80.8431267,35.2270869
-77.727883,40.9699889
-76.6114322,39.3088776
-77.4342799,37.5385087
-122.3300623,47.6038321
-86.4446933327789,35.9155165
-72.9880050784897,44.505504
-1.2578498,51.7520131
-1.8948515,52.4776875
-71.0411587,42.1625997
-101.8551664,33.5778631
